DOY_365,Tmin_C_p10,Tmin_C_p50,Tmin_C_p90,Tmax_C_p10,Tmax_C_p50,Tmax_C_p90,Tavg_C_p10,Tavg_C_p50,Tavg_C_p90,PRCP_mm_p10,PRCP_mm_p50,PRCP_mm_p90,SNOW_mm_p10,SNOW_mm_p50,SNOW_mm_p90,SNWD_mm_p10,SNWD_mm_p50,SNWD_mm_p90
112,5.6,10.0,14.4,13.9,20.6,28.3,10.0,15.549999999999999,22.5,0.0,0.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0
113,6.7,9.4,13.3,14.4,20.6,27.8,10.8,13.9,20.0,0.0,0.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0
114,5.6,8.9,14.4,16.1,19.4,27.8,11.1,13.9,21.4,0.0,0.0,11.7,0.0,0.0,0.0,0.0,0.0,0.0
115,6.7,10.0,13.9,16.1,20.6,26.7,11.100000000000001,15.0,20.3,0.0,0.0,8.1,0.0,0.0,0.0,0.0,0.0,0.0
116,6.7,10.0,15.0,15.6,20.6,28.3,11.95,15.25,21.95,0.0,0.3,8.4,0.0,0.0,0.0,0.0,0.0,0.0
117,6.7,10.0,12.2,15.6,20.6,26.7,11.649999999999999,15.3,19.45,0.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0
118,6.1,10.0,16.1,15.0,20.0,28.9,10.85,15.25,21.1,0.0,0.0,14.7,0.0,0.0,0.0,0.0,0.0,0.0
119,6.7,10.0,16.1,15.6,21.7,29.4,12.5,15.25,22.75,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
120,7.2,10.6,14.4,16.7,21.7,28.3,13.35,16.1,20.8,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
121,7.8,11.7,16.1,17.8,21.7,28.9,13.35,16.7,22.25,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0
122,8.9,12.8,17.2,20.0,25.6,30.6,14.7,18.9,23.1,0.0,0.0,12.7,0.0,0.0,0.0,0.0,0.0,0.0
123,8.9,13.3,18.3,16.1,23.3,28.9,13.35,18.6,23.65,0.0,0.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0
124,8.3,12.2,18.3,16.7,22.8,28.9,12.5,18.05,23.6,0.0,0.0,14.2,0.0,0.0,0.0,0.0,0.0,0.0
125,8.3,12.8,17.2,15.6,22.2,28.3,12.5,16.95,23.05,0.0,0.5,16.3,0.0,0.0,0.0,0.0,0.0,0.0
